left=6000000047
right=6000000049
Ekey =48000005, Dkey =-1
Ekey =48000007, Dkey =-1
Ekey =48000011, Dkey =-1
Ekey =48000013, Dkey =-1
Ekey =48000017, Dkey =-1
Ekey =48000019, Dkey =-1
Ekey =48000023, Dkey =-1
Ekey =48000025, Dkey =-1
Ekey =48000031, Dkey =-1
Ekey =48000035, Dkey =-1
Ekey =48000037, Dkey =-1
Ekey =48000041, Dkey =-1
Ekey =48000047, Dkey =-1
Ekey =48000049, Dkey =-1
Ekey =48000053, Dkey =-1
Ekey =48000055, Dkey =-1
Ekey =48000059, Dkey =-1
Ekey =48000061, Dkey =-1
Ekey =48000065, Dkey =-1
Ekey =48000067, Dkey =-1
Ekey =48000073, Dkey =-1
Ekey =48000077, Dkey =-1
Ekey =48000079, Dkey =-1
Ekey =48000083, Dkey =-1
Ekey =48000089, Dkey =-1
Ekey =48000091, Dkey =-1
Ekey =48000095, Dkey =-1
Ekey =48000097, Dkey =-1
Ekey =48000101, Dkey =-1
Ekey =48000103, Dkey =-1
Ekey =48000107, Dkey =-1
Ekey =48000109, Dkey =-1
Ekey =48000115, Dkey =-1
Ekey =48000119, Dkey =-1
Ekey =48000121, Dkey =-1
Ekey =48000125, Dkey =-1
Ekey =48000131, Dkey =-1
Ekey =48000133, Dkey =-1
Ekey =48000137, Dkey =-1
Ekey =48000139, Dkey =-1
Ekey =48000143, Dkey =-1
Ekey =48000145, Dkey =-1
Ekey =48000149, Dkey =-1
Ekey =48000151, Dkey =-1
Ekey =48000157, Dkey =-1
Ekey =48000161, Dkey =-1
Ekey =48000163, Dkey =-1
Ekey =48000167, Dkey =-1
Ekey =48000173, Dkey =-1
Ekey =48000175, Dkey =-1
Ekey =48000179, Dkey =-1
Ekey =48000181, Dkey =-1
Ekey =48000185, Dkey =-1
Ekey =48000187, Dkey =-1
Ekey =48000191, Dkey =-1
Ekey =48000199, Dkey =-1
Ekey =48000203, Dkey =-1
Ekey =48000205, Dkey =-1
Ekey =48000209, Dkey =-1
Ekey =48000215, Dkey =-1
Ekey =48000217, Dkey =-1
Ekey =48000223, Dkey =-1
Ekey =48000227, Dkey =-1
Ekey =48000229, Dkey =-1
Ekey =48000233, Dkey =-1
Ekey =48000235, Dkey =-1
Ekey =48000241, Dkey =-1
Ekey =48000245, Dkey =-1
Ekey =48000247, Dkey =-1
Ekey =48000251, Dkey =-1
Ekey =48000257, Dkey =-1
Ekey =48000259, Dkey =-1
Ekey =48000263, Dkey =-1
Ekey =48000265, Dkey =-1
Ekey =48000269, Dkey =-1
Ekey =48000271, Dkey =-1
Ekey =48000275, Dkey =-1
Ekey =48000277, Dkey =-1
Ekey =48000283, Dkey =-1
Ekey =48000287, Dkey =-1
Ekey =48000289, Dkey =-1
Ekey =48000293, Dkey =-1
Ekey =48000299, Dkey =-1
Ekey =48000301, Dkey =-1
Ekey =48000305, Dkey =-1
Ekey =48000307, Dkey =-1
Ekey =48000311, Dkey =-1
Ekey =48000313, Dkey =-1
Ekey =48000317, Dkey =-1
Ekey =48000319, Dkey =-1
Ekey =48000325, Dkey =-1
Ekey =48000329, Dkey =-1
Ekey =48000331, Dkey =-1
Ekey =48000335, Dkey =-1
Ekey =48000341, Dkey =-1
Ekey =48000343, Dkey =-1
Ekey =48000347, Dkey =-1
Ekey =48000349, Dkey =-1
Ekey =48000353, Dkey =-1
Ekey =48000355, Dkey =-1
Ekey =48000359, Dkey =-1
Ekey =48000361, Dkey =-1
Ekey =48000367, Dkey =-1
Ekey =48000371, Dkey =-1
Ekey =48000373, Dkey =-1
Ekey =48000377, Dkey =-1
Ekey =48000383, Dkey =-1
Ekey =48000385, Dkey =-1
Ekey =48000389, Dkey =-1
Ekey =48000391, Dkey =-1
Ekey =48000395, Dkey =-1
Ekey =48000397, Dkey =-1
Ekey =48000401, Dkey =-1
Ekey =48000403, Dkey =-1
Ekey =48000409, Dkey =-1
Ekey =48000413, Dkey =-1
Ekey =48000415, Dkey =-1
Ekey =48000419, Dkey =-1
Ekey =48000425, Dkey =-1
